element_number,error_count,earliest,latest,max_CFL,run_file
211009,1398,4101.81,4850.61,1.784575,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
214586,185,2082.29411,2248.93388,1.807181,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
304499,1,2668.47524,2668.47524,1.043449,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
315194,170,4984.4,5434.83099,1.373004,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
318496,28,5374.95488,5531.07131,1.60989,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
318796,1,5379.8613,5379.8613,1.04924,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
323365,1,432.915625,432.915625,6.129568,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
327835,14237,1283.04,1442.4,1.113851,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
327971,96,1526.4,1651.45661,2.299022,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
352203,1,5621.48,5621.48,31.569355,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
352632,1,5621.46,5621.46,32.780376,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
352633,10,5621.59,5621.68,82.760854,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
352843,2,5621.7,5621.71,503.103603,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
352927,1,5621.49,5621.49,41.253359,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
352930,4,5621.5,5621.53,37.993369,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
353112,4,5621.54,5621.57,91.634112,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
353270,1,5621.58,5621.58,65.435159,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
353357,1,5621.69,5621.69,57.513968,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
353454,4,5621.41,5621.44,46.771929,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
353551,2,5621.4,5621.45,44.44411,TEST_20200127_FBO_4B_Reg1560_75.2_CFLOutput.log
